,ID,Last,First,Player debut,Mgr debut,Coach debut,Ump debut,start_date,full_name
9669,kenni001,Kennedy,Ian,09/01/2007,,,,2007-09-01,Ian Kennedy
9672,kennj001,Kennedy,Joe,06/06/2001,,,,2001-06-06,Joe Kennedy
9686,kensl001,Kensing,Logan,09/10/2004,,,,2004-09-10,Logan Kensing
9688,kentj001,Kent,Jeff,04/12/1992,,,,1992-04-12,Jeff Kent
9691,kents001,Kent,Steven,04/04/2002,,,,2002-04-04,Steven Kent
9697,keplm001,Kepler,Max,09/27/2015,,,,2015-09-27,Max Kepler
9698,keppb001,Keppel,Bobby,05/25/2006,,,,2006-05-25,Bobby Keppel
9699,keppj001,Keppinger,Jeff,08/20/2004,,,,2004-08-20,Jeff Keppinger
9700,kepsk001,Kepshire,Kurt,07/04/1984,,,,1984-07-04,Kurt Kepshire
9701,kerfc001,Kerfeld,Charlie,07/27/1985,,,,1985-07-27,Charlie Kerfeld
9718,kersc001,Kershaw,Clayton,05/25/2008,,,,2008-05-25,Clayton Kershaw
9719,kersj001,Kershner,Jason,07/25/2002,,,,2002-07-25,Jason Kershner
9722,kessk001,Kessinger,Keith,09/15/1993,,,,1993-09-15,Keith Kessinger
9728,keucd001,Keuchel,Dallas,06/17/2012,,,,2012-06-17,Dallas Keuchel
9730,key-j001,Key,Jimmy,04/06/1984,,,,1984-04-06,Jimmy Key
9731,keysb001,Keyser,Brian,06/02/1995,,,,1995-06-02,Brian Keyser
9732,khals001,Khalifa,Sam,06/25/1985,,,,1985-06-25,Sam Khalifa
9736,kickm001,Kickham,Mike,05/28/2013,,,,2013-05-28,Mike Kickham
9737,kidam001,Kida,Masao,04/05/1999,,,,1999-04-05,Masao Kida
9738,kiebs001,Kieboom,Spencer,10/02/2016,,,,2016-10-02,Spencer Kieboom
9739,kiecd001,Kiecker,Dana,04/12/1990,,,,1990-04-12,Dana Kiecker
9741,kiefm001,Kiefer,Mark,09/20/1993,,,,1993-09-20,Mark Kiefer
9742,kiefs001,Kiefer,Steve,09/03/1984,,,,1984-09-03,Steve Kiefer
9743,kiekd001,Kiekhefer,Dean,05/14/2016,,,,2016-05-14,Dean Kiekhefer
9744,kielb001,Kielty,Bobby,04/10/2001,,,,2001-04-10,Bobby Kielty
9745,kielj001,Kiely,John,07/26/1991,,,,1991-07-26,John Kiely
9748,kierk001,Kiermaier,Kevin,09/30/2013,,,,2013-09-30,Kevin Kiermaier
9749,kiesb001,Kieschnick,Brooks,04/03/1996,,,,1996-04-03,Brooks Kieschnick
